,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,,0.0,5,"1479,",66.7,,0.0,0.0,1,1,0.288,0.0,0.515,0.0,0.515,0.0,0.0,0.0,1479,,0.0,,,0,0.0
1,26.0,0.075,5,"1425,1610612760",87.0,0.001,0.0,0.0,3,1,0.441,0.075,0.299,0.299,0.299,1.0,0.0,0.0,1425,Aaron Williams,0.0,SEA,1610612760.0,2,0.667
2,28.0,0.007,5,"228,1610612762",95.5,0.001,0.076,0.153,15,7,0.56,0.163,0.076,0.163,0.39,0.222,0.226,0.167,228,Adam Keefe,0.014,UTA,1610612762.0,8,0.533
3,25.0,0.004,5,"673,1610612737",98.2,0.001,0.054,0.112,4,3,0.566,0.121,0.126,0.152,0.439,0.077,0.145,0.167,673,Alan Henderson,0.013,ATL,1610612737.0,1,0.25
4,27.0,0.001,5,"275,1610612752",101.3,0.001,0.042,0.1,10,6,0.533,0.104,0.092,0.202,0.327,0.077,0.129,0.068,275,Allan Houston,0.007,NYK,1610612752.0,4,0.4
5,28.0,0.04,5,"297,1610612748",100.9,0.001,0.096,0.2,4,2,0.55,0.164,0.112,0.184,0.393,0.769,0.282,0.136,297,Alonzo Mourning,0.012,MIA,1610612748.0,2,0.5
6,39.0,0.044,5,"175,1610612757",130.9,-0.001,0.044,0.111,2,2,0.488,0.264,0.351,0.483,0.615,1.0,0.2,0.0,175,Alton Lister,0.0,POR,1610612757.0,0,0.0
7,34.0,0.0,5,"194,1610612752",112.4,0.0,0.0,0.0,7,4,0.559,0.107,0.134,0.16,0.267,0.0,0.0,1.0,194,Anthony Bowie,0.027,NYK,1610612752.0,3,0.429
8,31.0,0.0,5,"193,1610612766",104.0,0.0,0.082,0.177,9,5,0.559,0.16,0.123,0.17,0.405,0.0,0.256,0.163,193,Anthony Mason,0.012,CHH,1610612766.0,4,0.444
9,26.0,0.017,5,"292,1610612737",73.2,0.003,0.068,0.138,4,3,0.54,0.135,0.034,0.118,0.338,0.25,0.174,0.333,292,Anthony Miller,0.034,ATL,1610612737.0,1,0.25
10,28.0,0.008,5,"324,1610612750",107.6,0.0,0.055,0.134,5,3,0.536,0.184,0.164,0.174,0.514,0.176,0.196,0.313,324,Anthony Peeler,0.025,MIN,1610612750.0,2,0.4
11,36.0,0.023,5,"156,1610612762",96.1,0.001,0.047,0.098,20,7,0.548,0.111,0.073,0.131,0.345,0.429,0.13,0.032,156,Antoine Carr,0.002,UTA,1610612762.0,13,0.65
12,29.0,0.022,5,"213,1610612754",96.8,0.001,0.086,0.201,16,6,0.551,0.142,0.093,0.182,0.364,0.45,0.292,0.164,213,Antonio Davis,0.014,IND,1610612754.0,10,0.625
13,23.0,0.022,5,"686,1610612756",106.5,0.0,0.126,0.276,4,3,0.525,0.144,0.148,0.148,0.462,0.5,0.385,0.08,686,Antonio McDyess,0.007,PHX,1610612756.0,1,0.25
14,33.0,0.015,5,"717,1610612757",106.4,0.0,0.118,0.282,4,3,0.525,0.103,0.192,0.138,0.631,0.273,0.375,0.389,717,Arvydas Sabonis,0.034,POR,1610612757.0,1,0.25
15,33.0,0.0,5,"422,1610612759",95.2,0.001,0.016,0.032,9,5,0.546,0.126,0.094,0.182,0.357,0.0,0.043,0.22,422,Avery Johnson,0.014,SAS,1610612759.0,4,0.444
16,30.0,0.0,5,"769,1610612766",102.2,0.001,0.031,0.075,9,5,0.558,0.138,0.157,0.176,0.375,0.0,0.105,0.261,769,B.J. Armstrong,0.023,CHH,1610612766.0,4,0.444
17,26.0,0.0,5,"223,1610612750",107.7,0.0,0.0,0.0,2,1,0.505,0.0,0.218,0.291,0.145,0.0,0.0,0.0,223,Bill Curley,0.0,MIN,1610612750.0,1,0.5
18,35.0,0.009,5,"82,1610612741",98.4,0.001,0.05,0.104,16,4,0.543,0.18,0.095,0.144,0.442,0.167,0.164,0.222,82,Bill Wennington,0.027,CHI,1610612741.0,12,0.75
19,25.0,0.0,5,"682,1610612739",127.5,-0.001,0.058,0.167,3,2,0.592,0.019,0.194,0.291,0.427,0.0,0.2,0.333,682,Bob Sura,0.019,CLE,1610612739.0,1,0.333
20,28.0,0.004,5,"184,1610612766",106.6,0.0,0.04,0.082,9,5,0.564,0.176,0.125,0.176,0.439,0.143,0.119,0.303,184,Bobby Phills,0.021,CHH,1610612766.0,4,0.444
21,33.0,0.0,5,"38,1610612759",120.1,-0.001,0.096,0.182,4,1,0.432,0.096,0.096,0.53,0.578,0.0,0.222,1.0,38,Brad Lohaus,0.048,SAS,1610612759.0,3,0.75
22,29.0,0.0,5,"85,1610612745",104.2,0.0,0.058,0.121,5,3,0.537,0.16,0.167,0.196,0.581,0.0,0.167,0.308,85,Brent Price,0.029,HOU,1610612745.0,2,0.4
23,22.0,0.004,5,"1510,1610612739",98.0,0.001,0.067,0.174,4,3,0.557,0.122,0.063,0.202,0.353,0.091,0.225,0.385,1510,Brevin Knight,0.042,CLE,1610612739.0,1,0.25
24,24.0,0.0,5,"967,1610612751",102.0,0.001,0.258,0.2,3,3,0.588,1.289,0.0,0.0,0.515,0.0,0.333,0.0,967,Brian Evans,0.0,NJN,1610612751.0,0,0.0
25,26.0,0.012,5,"258,1610612757",105.3,0.0,0.097,0.253,4,3,0.523,0.128,0.179,0.206,0.544,0.231,0.347,0.174,258,Brian Grant,0.016,POR,1610612757.0,1,0.25
26,27.0,0.004,5,"935,1610612762",99.5,0.001,0.063,0.136,20,7,0.543,0.146,0.079,0.165,0.419,0.072,0.191,0.214,935,Bryon Russell,0.016,UTA,1610612762.0,13,0.65
27,38.0,0.012,5,"433,1610612752",106.6,0.0,0.106,0.25,3,2,0.535,0.118,0.176,0.176,0.329,0.333,0.29,0.0,433,Buck Williams,0.0,NYK,1610612752.0,1,0.333
28,31.0,0.0,5,"61,1610612759",97.7,0.001,0.083,0.16,5,3,0.548,0.209,0.042,0.167,0.292,0.0,0.2,0.0,61,Carl Herrera,0.0,SAS,1610612759.0,2,0.4
29,28.0,0.0,5,"1063,1610612739",92.6,0.001,0.0,0.0,1,1,0.581,0.055,0.219,0.219,0.219,0.0,0.0,0.0,1063,Carl Thomas,0.0,CLE,1610612739.0,0,0.0
30,23.0,0.0,5,"1538,1610612739",106.5,0.0,0.047,0.125,4,3,0.565,0.123,0.115,0.27,0.418,0.0,0.171,0.222,1538,Cedric Henderson,0.022,CLE,1610612739.0,1,0.25
31,35.0,0.0,5,"787,1610612745",103.6,0.0,0.097,0.193,4,2,0.532,0.134,0.128,0.194,0.401,0.0,0.262,0.385,787,Charles Barkley,0.03,HOU,1610612745.0,2,0.5
32,41.0,0.0,5,"279,1610612745",95.6,0.001,0.099,0.286,4,3,0.5,0.099,0.197,0.0,0.493,0.0,0.4,0.0,279,Charles Jones,0.0,HOU,1610612745.0,1,0.25
33,34.0,0.003,5,"891,1610612752",103.9,0.0,0.102,0.238,10,6,0.543,0.107,0.104,0.206,0.339,0.143,0.311,0.183,891,Charles Oakley,0.018,NYK,1610612752.0,4,0.4
34,27.0,0.004,5,"369,1610612752",109.6,0.0,0.05,0.12,10,6,0.526,0.109,0.117,0.207,0.382,0.167,0.162,0.408,369,Charlie Ward,0.04,NYK,1610612752.0,4,0.4
35,25.0,0.0,5,"685,1610612750",0.0,0.0,0.0,0.0,1,1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685,Cherokee Parks,0.0,MIN,1610612750.0,0,0.0
36,30.0,0.0,5,"164,1610612752",93.1,0.001,0.042,0.102,10,6,0.539,0.089,0.04,0.154,0.283,0.0,0.127,0.146,164,Chris Childs,0.013,NYK,1610612752.0,4,0.4
37,23.0,0.102,5,"1544,1610612737",85.6,0.002,0.102,0.167,1,0,0.417,0.205,0.205,0.307,0.0,0.5,0.25,0.0,1544,Chris Crawford,0.0,ATL,1610612737.0,1,1.0
38,33.0,0.01,5,"201,1610612752",96.4,0.001,0.121,0.279,6,5,0.537,0.02,0.111,0.182,0.202,0.5,0.333,0.286,201,Chris Dudley,0.02,NYK,1610612752.0,1,0.167
39,30.0,0.014,5,"423,1610612751",125.2,-0.001,0.028,0.065,3,3,0.571,0.241,0.199,0.255,0.511,0.286,0.111,0.286,423,Chris Gatling,0.014,NJN,1610612751.0,0,0.0
