,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,6,0,2,4,3,0.75,19,7,0.368,4,2,0.5,"MAR 12, 2017",0021600988,PHX vs. POR,31,1,1,-2,19,202339,3,22016,2,2,1,L
1,6,1,2,5,1,0.2,16,4,0.25,3,3,1.0,"MAR 11, 2017",0021600982,PHX @ DAL,31,0,3,16,12,202339,2,22016,1,4,1,W
2,5,1,7,4,1,0.25,12,4,0.333,6,4,0.667,"MAR 09, 2017",0021600964,PHX vs. LAL,32,0,0,-1,13,202339,7,22016,2,7,1,L
3,5,0,3,9,4,0.444,18,9,0.5,8,8,1.0,"MAR 07, 2017",0021600948,PHX vs. WAS,27,0,3,16,30,202339,3,22016,0,6,1,L
4,9,0,6,5,2,0.4,20,9,0.45,8,8,1.0,"MAR 05, 2017",0021600929,PHX vs. BOS,35,0,2,10,28,202339,6,22016,0,4,1,W
5,5,1,3,3,0,0.0,15,4,0.267,13,10,0.769,"MAR 03, 2017",0021600916,PHX vs. OKC,29,0,1,-11,18,202339,3,22016,4,2,1,W
6,7,1,4,1,1,1.0,4,3,0.75,8,7,0.875,"MAR 02, 2017",0021600907,PHX vs. CHA,25,0,2,0,14,202339,4,22016,1,4,1,W
7,8,1,4,5,2,0.4,17,7,0.412,6,4,0.667,"FEB 28, 2017",0021600892,PHX @ MEM,31,0,0,-3,20,202339,4,22016,2,1,2,L
8,9,2,4,2,0,0.0,10,4,0.4,4,3,0.75,"FEB 26, 2017",0021600875,PHX @ MIL,34,0,4,5,11,202339,4,22016,2,5,1,L
9,9,1,6,7,2,0.286,14,5,0.357,5,5,1.0,"FEB 24, 2017",0021600859,PHX @ CHI,40,1,2,-11,17,202339,7,22016,1,5,1,L
10,13,0,8,6,3,0.5,14,7,0.5,9,8,0.889,"FEB 15, 2017",0021600844,PHX vs. LAL,36,2,1,31,25,202339,10,22016,2,3,1,W
11,5,0,1,7,3,0.429,22,11,0.5,14,12,0.857,"FEB 13, 2017",0021600829,PHX vs. NOP,39,1,3,-6,37,202339,2,22016,3,5,1,L
12,8,1,3,3,1,0.333,19,9,0.474,5,4,0.8,"FEB 10, 2017",0021600807,PHX vs. CHI,33,0,0,11,23,202339,3,22016,0,4,1,W
13,3,0,0,4,1,0.25,15,3,0.2,9,9,1.0,"FEB 08, 2017",0021600788,PHX @ MEM,25,0,3,-15,16,202339,0,22016,1,2,1,L
