,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,24.0,0.02,5,"243,1610612765",93.7,0.002,0.09,0.125,5,3,101.201666667,0.25,0.21,0.22,0.63,0.4,0.191,0.353,243,Aaron McKie,0.06,DET,1610612765,2,0.4
1,27.0,0.02,5,"228,1610612762",106.0,0.001,0.22,0.26,8,4,59.9416666667,0.22,0.17,0.52,0.97,0.143,0.371,0.182,228,Adam Keefe,0.03,UTA,1610612762,4,0.5
2,24.0,0.02,5,"673,1610612737",109.6,0.0,0.16,0.193,10,6,141.39,0.37,0.2,0.45,0.75,0.25,0.275,0.1,673,Alan Henderson,0.01,ATL,1610612737,4,0.4
3,26.0,0.01,5,"275,1610612752",98.6,0.002,0.05,0.066,9,3,374.971666667,0.29,0.23,0.34,0.72,0.111,0.09,0.083,275,Allan Houston,0.02,NYK,1610612752,6,0.667
4,27.0,0.07,5,"297,1610612748",94.3,0.002,0.2,0.227,17,9,650.713333333,0.26,0.18,0.35,0.69,0.622,0.321,0.122,297,Alonzo Mourning,0.02,MIA,1610612748,8,0.471
5,23.0,0.0,5,"1043,1610612753",109.0,0.0,0.4,0.75,2,2,7.41,0.0,0.54,0.27,1.08,0.0,0.75,0.0,1043,Amal McCaskill,0.0,ORL,1610612753,0,0.0
6,25.0,0.03,5,"358,1610612753",103.9,0.001,0.1,0.119,5,3,228.786666667,0.29,0.31,0.28,0.73,0.28,0.176,0.387,358,Anfernee Hardaway,0.05,ORL,1610612753,2,0.4
7,30.0,0.01,5,"193,1610612766",118.8,-0.001,0.2,0.311,3,3,137.638333333,0.24,0.22,0.27,0.87,0.111,0.412,0.059,193,Anthony Mason,0.01,CHH,1610612766,0,0.0
8,35.0,0.03,5,"156,1610612762",106.5,0.001,0.1,0.118,20,7,291.173333333,0.27,0.2,0.34,0.68,0.429,0.161,0.15,156,Antoine Carr,0.02,UTA,1610612762,13,0.65
9,32.0,0.03,5,"717,1610612757",116.2,-0.001,0.16,0.222,4,3,110.738333333,0.3,0.27,0.37,0.99,0.429,0.321,0.214,717,Arvydas Sabonis,0.03,POR,1610612757,1,0.25
10,28.0,0.02,5,"183,1610612741",95.6,0.002,0.12,0.154,19,4,346.775,0.22,0.12,0.2,0.57,0.267,0.208,0.247,183,Bison Dele,0.05,CHI,1610612741,15,0.789
11,26.0,0.03,5,"448,1610612746",106.3,0.001,0.11,0.178,3,3,70.2266666667,0.1,0.17,0.14,0.66,0.286,0.258,0.077,448,Bo Outlaw,0.01,LAC,1610612746,0,0.0
