,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,1,4,3,0,0.0,24,7,0.292,4,1,0.25,"APR 09, 2016",0021501193,SAC vs. OKC,32,3,6,-6,15,202326,7,22015,2,2,1,W
1,1,3,9,4,1,0.25,21,11,0.524,11,7,0.636,"APR 05, 2016",0021501162,SAC vs. POR,38,0,2,4,30,202326,9,22015,2,6,1,L
2,4,4,9,1,1,1.0,18,11,0.611,9,6,0.667,"MAR 30, 2016",0021501120,SAC vs. WAS,32,1,3,2,29,202326,10,22015,5,5,1,W
3,5,0,10,1,0,0.0,12,7,0.583,10,6,0.6,"MAR 27, 2016",0021501095,SAC vs. DAL,28,2,2,17,20,202326,12,22015,2,3,1,W
4,1,1,9,3,1,0.333,18,9,0.5,14,10,0.714,"MAR 25, 2016",0021501079,SAC vs. PHX,28,2,3,16,29,202326,11,22015,0,1,1,W
5,3,2,14,1,0,0.0,14,6,0.429,7,7,1.0,"MAR 21, 2016",0021501049,SAC @ CHI,35,4,3,-11,19,202326,18,22015,1,8,1,L
6,4,2,15,3,1,0.333,23,11,0.478,2,1,0.5,"MAR 20, 2016",0021501042,SAC @ NYK,37,5,1,14,24,202326,20,22015,1,1,1,W
7,3,1,8,3,0,0.0,21,11,0.524,11,9,0.818,"MAR 18, 2016",0021501022,SAC @ DET,35,2,5,-17,31,202326,10,22015,2,2,1,L
8,5,2,11,2,0,0.0,21,8,0.381,4,4,1.0,"MAR 16, 2016",0021501010,SAC vs. NOP,34,1,2,-17,20,202326,12,22015,2,4,1,L
9,3,4,8,1,1,1.0,10,4,0.4,15,13,0.867,"MAR 15, 2016",0021501002,SAC @ LAL,36,0,2,11,22,202326,8,22015,3,3,1,W
10,5,2,8,6,3,0.5,23,10,0.435,11,8,0.727,"MAR 13, 2016",0021500986,SAC vs. UTA,35,2,5,-9,31,202326,10,22015,2,1,1,L
11,2,0,9,6,1,0.167,22,8,0.364,18,12,0.667,"MAR 09, 2016",0021500957,SAC vs. CLE,36,2,5,-11,29,202326,11,22015,2,4,1,L
12,4,1,14,3,0,0.0,29,16,0.552,9,8,0.889,"MAR 07, 2016",0021500941,SAC @ NOP,41,2,4,9,40,202326,16,22015,4,5,1,L
13,3,0,6,3,1,0.333,20,10,0.5,15,10,0.667,"MAR 05, 2016",0021500928,SAC @ SAS,36,3,5,-10,31,202326,9,22015,1,4,1,L
14,5,2,11,2,0,0.0,17,9,0.529,8,4,0.5,"MAR 03, 2016",0021500910,SAC @ DAL,36,2,3,-3,22,202326,13,22015,1,4,1,W
15,6,2,8,3,1,0.333,18,7,0.389,6,3,0.5,"MAR 02, 2016",0021500902,SAC @ MEM,34,8,5,-9,18,202326,16,22015,3,7,1,L
16,3,0,5,4,0,0.0,33,14,0.424,11,7,0.636,"FEB 29, 2016",0021500889,SAC vs. OKC,34,7,3,-10,35,202326,12,22015,4,6,1,L
17,9,2,10,5,2,0.4,20,7,0.35,14,10,0.714,"FEB 26, 2016",0021500867,SAC vs. LAC,37,5,3,-13,26,202326,15,22015,2,7,1,L
18,2,0,8,4,2,0.5,23,8,0.348,9,4,0.444,"FEB 24, 2016",0021500854,SAC vs. SAS,39,2,3,-6,22,202326,10,22015,1,3,1,L
19,2,2,7,2,2,1.0,24,14,0.583,12,9,0.75,"FEB 23, 2016",0021500842,SAC @ DEN,36,2,3,11,39,202326,9,22015,1,3,1,W
20,2,4,19,1,1,1.0,20,12,0.6,15,12,0.8,"FEB 19, 2016",0021500816,SAC vs. DEN,39,1,4,4,37,202326,20,22015,1,6,1,W
21,5,0,8,2,0,0.0,18,8,0.444,17,12,0.706,"FEB 10, 2016",0021500791,SAC @ PHI,36,4,5,11,28,202326,12,22015,2,4,1,W
22,3,1,8,1,0,0.0,14,5,0.357,6,4,0.667,"FEB 08, 2016",0021500775,SAC @ CLE,29,0,4,-17,14,202326,8,22015,0,2,1,L
23,6,0,7,6,3,0.5,25,11,0.44,8,6,0.75,"FEB 07, 2016",0021500773,SAC @ BOS,36,0,4,-14,31,202326,7,22015,0,5,1,L
24,10,0,10,4,4,1.0,18,9,0.5,3,2,0.667,"FEB 05, 2016",0021500754,SAC @ BKN,40,0,2,-3,24,202326,10,22015,2,3,1,L
25,4,2,8,3,0,0.0,25,12,0.48,11,6,0.545,"FEB 03, 2016",0021500744,SAC vs. CHI,37,3,2,1,30,202326,11,22015,3,6,1,L
26,1,2,9,3,1,0.333,17,3,0.176,14,10,0.714,"JAN 30, 2016",0021500712,SAC @ MEM,31,5,2,-3,17,202326,14,22015,3,6,1,L
27,6,5,10,1,0,0.0,24,11,0.458,6,4,0.667,"JAN 28, 2016",0021500696,SAC @ NOP,41,0,2,-8,26,202326,10,22015,1,6,1,L
28,4,0,4,2,0,0.0,21,4,0.19,17,9,0.529,"JAN 26, 2016",0021500682,SAC @ POR,32,1,2,-14,17,202326,5,22015,0,2,1,L
29,4,2,11,3,1,0.333,30,21,0.7,16,13,0.813,"JAN 25, 2016",0021500674,SAC vs. CHA,46,1,6,15,56,202326,12,22015,1,7,1,L
30,2,0,11,2,1,0.5,29,17,0.586,20,13,0.65,"JAN 23, 2016",0021500663,SAC vs. IND,39,2,4,16,48,202326,13,22015,1,5,1,W
31,5,2,12,1,1,1.0,25,10,0.4,4,3,0.75,"JAN 21, 2016",0021500643,SAC vs. ATL,39,4,4,10,24,202326,16,22015,3,6,1,W
32,3,1,10,0,0,0.0,22,13,0.591,12,10,0.833,"JAN 20, 2016",0021500638,SAC @ LAL,35,6,5,26,36,202326,16,22015,1,2,1,W
33,6,2,10,2,1,0.5,14,6,0.429,7,6,0.857,"JAN 16, 2016",0021500609,SAC @ LAC,33,3,5,7,19,202326,13,22015,0,5,1,W
34,1,1,12,2,2,1.0,21,10,0.476,21,14,0.667,"JAN 14, 2016",0021500591,SAC @ UTA,39,5,2,3,36,202326,17,22015,1,4,1,W
35,1,0,10,8,3,0.375,30,13,0.433,4,3,0.75,"JAN 13, 2016",0021500585,SAC vs. NOP,37,2,4,-11,32,202326,12,22015,1,4,1,L
36,1,0,9,6,2,0.333,27,12,0.444,9,7,0.778,"JAN 09, 2016",0021500556,SAC vs. GSW,30,1,4,-3,33,202326,10,22015,3,2,1,L
37,7,1,9,3,2,0.667,12,8,0.667,13,11,0.846,"JAN 07, 2016",0021500539,SAC vs. LAL,32,1,5,18,29,202326,10,22015,1,3,1,W
38,4,1,14,6,2,0.333,30,15,0.5,6,3,0.5,"JAN 05, 2016",0021500523,SAC @ DAL,49,3,5,4,35,202326,17,22015,6,10,1,L
39,1,2,15,4,2,0.5,27,11,0.407,10,9,0.9,"JAN 04, 2016",0021500517,SAC @ OKC,38,4,2,3,33,202326,19,22015,0,1,1,W
40,1,0,7,2,1,0.5,15,11,0.733,11,9,0.818,"JAN 02, 2016",0021500496,SAC vs. PHX,27,2,3,23,32,202326,9,22015,2,1,1,W
41,1,3,10,2,0,0.0,10,4,0.4,20,13,0.65,"DEC 30, 2015",0021500483,SAC vs. PHI,34,1,6,-8,21,202326,11,22015,0,5,1,L
42,2,0,2,1,0,0.0,9,3,0.333,3,1,0.333,"DEC 28, 2015",0021500468,SAC @ GSW,12,2,5,-6,7,202326,4,22015,2,0,1,L
43,2,2,4,7,2,0.286,26,12,0.462,12,10,0.833,"DEC 27, 2015",0021500457,SAC vs. POR,37,2,3,0,36,202326,6,22015,1,5,1,L
44,1,3,13,1,0,0.0,19,8,0.421,10,9,0.9,"DEC 23, 2015",0021500425,SAC @ IND,35,3,2,-8,25,202326,16,22015,0,5,1,W
45,3,1,5,3,1,0.333,22,8,0.364,7,5,0.714,"DEC 21, 2015",0021500410,SAC @ WAS,32,3,2,-18,22,202326,8,22015,3,3,1,L
46,5,4,8,1,1,1.0,13,5,0.385,8,4,0.5,"DEC 20, 2015",0021500408,SAC @ TOR,32,1,3,32,15,202326,9,22015,2,2,1,W
47,4,1,8,3,0,0.0,25,11,0.44,3,2,0.667,"DEC 18, 2015",0021500392,SAC @ MIN,37,4,4,-3,24,202326,12,22015,4,5,1,L
48,0,1,11,4,2,0.5,17,7,0.412,14,10,0.714,"DEC 15, 2015",0021500369,SAC vs. HOU,33,1,4,4,26,202326,12,22015,2,4,1,W
49,2,0,8,2,0,0.0,25,12,0.48,4,3,0.75,"DEC 10, 2015",0021500332,SAC vs. NYK,37,3,5,14,27,202326,11,22015,2,3,1,W
50,6,0,10,3,1,0.333,14,8,0.571,10,6,0.6,"DEC 08, 2015",0021500318,SAC vs. UTA,37,2,6,4,23,202326,12,22015,1,5,1,W
51,0,1,7,3,0,0.0,20,5,0.25,9,3,0.333,"DEC 06, 2015",0021500303,SAC @ OKC,36,3,2,-7,13,202326,10,22015,3,1,1,L
52,3,2,8,3,0,0.0,16,4,0.25,7,6,0.857,"DEC 05, 2015",0021500293,SAC @ HOU,27,1,6,-12,14,202326,9,22015,0,3,1,L
53,4,1,3,5,2,0.4,17,4,0.235,8,6,0.75,"DEC 03, 2015",0021500282,SAC vs. BOS,25,4,5,-22,16,202326,7,22015,0,4,1,L
54,6,1,8,8,1,0.125,24,10,0.417,10,10,1.0,"NOV 30, 2015",0021500260,SAC vs. DAL,38,1,2,24,31,202326,9,22015,0,2,1,W
55,1,3,10,6,2,0.333,21,13,0.619,4,2,0.5,"NOV 23, 2015",0021500202,SAC @ CHA,31,1,5,-8,30,202326,11,22015,1,4,1,L
56,6,3,12,2,0,0.0,19,8,0.421,15,13,0.867,"NOV 21, 2015",0021500189,SAC @ ORL,40,0,2,13,29,202326,12,22015,3,4,1,W
57,3,0,9,5,1,0.2,20,7,0.35,11,9,0.818,"NOV 18, 2015",0021500169,SAC @ ATL,34,3,4,-6,24,202326,12,22015,0,3,1,L
58,3,3,9,6,3,0.5,22,12,0.545,12,9,0.75,"NOV 15, 2015",0021500150,SAC vs. TOR,41,1,3,15,36,202326,10,22015,1,3,1,W
59,1,1,7,4,2,0.5,27,13,0.481,13,12,0.923,"NOV 13, 2015",0021500137,SAC vs. BKN,34,6,6,-1,40,202326,13,22015,0,1,1,W
60,1,1,8,5,4,0.8,21,11,0.524,11,7,0.636,"NOV 11, 2015",0021500122,SAC vs. DET,38,1,3,15,33,202326,9,22015,0,4,1,W
61,3,1,8,4,0,0.0,20,5,0.25,15,11,0.733,"NOV 09, 2015",0021500103,SAC vs. SAS,32,4,2,-14,21,202326,12,22015,2,4,1,L
62,1,0,7,3,0,0.0,14,6,0.429,2,1,0.5,"OCT 31, 2015",0021500038,SAC @ LAC,15,2,3,-11,13,202326,9,22015,1,2,1,L
63,3,2,8,2,0,0.0,15,5,0.333,14,11,0.786,"OCT 30, 2015",0021500031,SAC vs. LAL,28,3,3,17,21,202326,11,22015,0,0,1,W
64,3,1,10,5,4,0.8,21,10,0.476,11,8,0.727,"OCT 28, 2015",0021500016,SAC vs. LAC,35,3,6,-7,32,202326,13,22015,0,8,1,L
