,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,,0.0,0.0,0.0,5,"1479,",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.11666666667,0.0,0.0,0.0,1479,,2.69,0.0,0.0,0.0,0,,,0.0,0,0.0
1,26.0,0.0,0.17,0.0,5,"1425,1610612760",0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.34,0.34,1.0,3,1,5.91,0.17,0.0,0.0,1425,Aaron Williams,-0.17,0.34,0.17,0.0,0,SEA,1610612760.0,0.17,2,0.667
2,28.0,0.01,0.01,0.04,5,"228,1610612762",0,0.14,0.0,0.0,0.0,0.19,0.06,0.345,0.11,0.07,0.647,15,7,155.133333333,0.08,0.12,0.0,228,Adam Keefe,-0.17,0.2,0.22,0.03,0,UTA,1610612762.0,0.02,8,0.533
3,25.0,0.03,0.01,0.01,5,"673,1610612737",0,0.09,0.01,0.0,0.0,0.3,0.16,0.526,0.14,0.09,0.611,4,3,126.318333333,0.08,0.1,0.0,673,Alan Henderson,0.06,0.4,0.17,0.02,0,ATL,1610612737.0,0.05,1,0.25
4,27.0,0.07,0.0,0.01,5,"275,1610612752",0,0.08,0.06,0.02,0.391,0.43,0.19,0.434,0.14,0.12,0.862,10,6,403.876666667,0.01,0.07,0.0,275,Allan Houston,-0.02,0.52,0.09,0.01,0,NYK,1610612752.0,0.08,4,0.4
5,28.0,0.04,0.07,0.01,5,"297,1610612748",1,0.17,0.0,0.0,0.0,0.41,0.21,0.518,0.21,0.14,0.655,4,2,137.181666667,0.07,0.13,0.01,297,Alonzo Mourning,0.07,0.56,0.25,0.02,0,MIA,1610612748.0,0.06,2,0.5
6,39.0,0.0,0.09,0.0,5,"175,1610612757",0,0.09,0.0,0.0,0.0,0.27,0.09,0.333,0.0,0.0,0.0,2,2,11.1,0.09,0.45,0.0,175,Alton Lister,-1.17,0.18,0.18,0.0,0,POR,1610612757.0,0.18,0,0.0
7,34.0,0.05,0.0,0.0,5,"194,1610612752",0,0.0,0.0,0.0,0.0,0.19,0.1,0.5,0.0,0.0,0.0,7,4,20.8983333333,0.0,0.19,0.0,194,Anthony Bowie,-0.43,0.19,0.0,0.05,0,NYK,1610612752.0,0.05,3,0.429
8,31.0,0.08,0.0,0.01,5,"193,1610612766",2,0.15,0.0,0.0,0.0,0.27,0.16,0.576,0.11,0.07,0.595,9,5,367.461666667,0.05,0.05,0.01,193,Anthony Mason,-0.11,0.38,0.19,0.02,0,CHH,1610612766.0,0.06,4,0.444
9,26.0,0.03,0.03,0.03,5,"292,1610612737",0,0.13,0.0,0.0,0.0,0.25,0.09,0.375,0.06,0.06,1.0,4,3,31.92,0.16,0.16,0.0,292,Anthony Miller,0.25,0.25,0.28,0.06,0,ATL,1610612737.0,0.09,1,0.25
10,28.0,0.08,0.01,0.01,5,"324,1610612750",0,0.1,0.15,0.07,0.484,0.36,0.15,0.403,0.02,0.02,1.0,5,3,212.63,0.08,0.07,0.0,324,Anthony Peeler,-0.14,0.38,0.18,0.05,0,MIN,1610612750.0,0.04,2,0.4
11,36.0,0.04,0.04,0.02,5,"156,1610612762",0,0.09,0.0,0.0,0.0,0.31,0.14,0.456,0.03,0.02,0.75,20,7,291.946666667,0.05,0.22,0.0,156,Antoine Carr,0.16,0.3,0.14,0.0,0,UTA,1610612762.0,0.03,13,0.65
12,29.0,0.03,0.04,0.01,5,"213,1610612754",2,0.16,0.0,0.0,0.0,0.2,0.09,0.462,0.21,0.14,0.67,16,6,457.751666667,0.08,0.14,0.0,213,Antonio Davis,0.11,0.32,0.24,0.03,0,IND,1610612754.0,0.05,10,0.625
13,23.0,0.03,0.04,0.08,5,"686,1610612756",3,0.24,0.0,0.0,0.0,0.45,0.21,0.477,0.1,0.06,0.643,4,3,145.483333333,0.12,0.08,0.0,686,Antonio McDyess,-0.17,0.49,0.36,0.01,0,PHX,1610612756.0,0.03,1,0.25
