,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,,0,0,0,5,"1479,",0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.11666666667,0,0,0,1479,,3,0,0,0,0,,,0,0,0.0
1,26.0,0,1,0,5,"1425,1610612760",0,0,0,0,0.0,3,0,0.0,2,2,1.0,3,1,5.91,1,0,0,1425,Aaron Williams,-1,2,1,0,0,SEA,1610612760.0,1,2,0.667
2,28.0,2,2,6,5,"228,1610612762",0,21,0,0,0.0,29,10,0.345,17,11,0.647,15,7,155.133333333,13,18,0,228,Adam Keefe,-26,31,34,4,0,UTA,1610612762.0,3,8,0.533
3,25.0,4,1,1,5,"673,1610612737",0,12,1,0,0.0,38,20,0.526,18,11,0.611,4,3,126.318333333,10,13,0,673,Alan Henderson,8,51,22,3,0,ATL,1610612737.0,6,1,0.25
4,27.0,28,1,6,5,"275,1610612752",0,32,23,9,0.391,175,76,0.434,58,50,0.862,10,6,403.876666667,6,27,0,275,Allan Houston,-10,211,38,5,0,NYK,1610612752.0,32,4,0.4
5,28.0,5,10,2,5,"297,1610612748",1,24,0,0,0.0,56,29,0.518,29,19,0.655,4,2,137.181666667,10,18,1,297,Alonzo Mourning,10,77,34,3,0,MIA,1610612748.0,8,2,0.5
6,39.0,0,1,0,5,"175,1610612757",0,1,0,0,0.0,3,1,0.333,0,0,0.0,2,2,11.1,1,5,0,175,Alton Lister,-13,2,2,0,0,POR,1610612757.0,2,0,0.0
7,34.0,1,0,0,5,"194,1610612752",0,0,0,0,0.0,4,2,0.5,0,0,0.0,7,4,20.8983333333,0,4,0,194,Anthony Bowie,-9,4,0,1,0,NYK,1610612752.0,1,3,0.429
8,31.0,31,0,5,5,"193,1610612766",2,54,1,0,0.0,99,57,0.576,42,25,0.595,9,5,367.461666667,17,17,2,193,Anthony Mason,-41,139,71,8,0,CHH,1610612766.0,22,4,0.444
9,26.0,1,1,1,5,"292,1610612737",0,4,0,0,0.0,8,3,0.375,2,2,1.0,4,3,31.92,5,5,0,292,Anthony Miller,8,8,9,2,0,ATL,1610612737.0,3,1,0.25
10,28.0,18,3,3,5,"324,1610612750",0,22,31,15,0.484,77,31,0.403,4,4,1.0,5,3,212.63,16,15,0,324,Anthony Peeler,-29,81,38,10,0,MIN,1610612750.0,8,2,0.4
11,36.0,11,12,5,5,"156,1610612762",0,25,0,0,0.0,90,41,0.456,8,6,0.75,20,7,291.946666667,16,63,0,156,Antoine Carr,48,88,41,1,0,UTA,1610612762.0,9,13,0.65
12,29.0,14,18,5,5,"213,1610612754",2,71,0,0,0.0,91,42,0.462,94,63,0.67,16,6,457.751666667,37,65,1,213,Antonio Davis,49,147,108,12,0,IND,1610612754.0,25,10,0.625
13,23.0,4,6,11,5,"686,1610612756",3,35,0,0,0.0,65,31,0.477,14,9,0.643,4,3,145.483333333,18,12,0,686,Antonio McDyess,-25,71,53,2,0,PHX,1610612756.0,5,1,0.25
14,33.0,6,3,7,5,"717,1610612757",0,24,2,1,0.5,40,18,0.45,14,12,0.857,4,3,106.578333333,7,19,0,717,Arvydas Sabonis,0,49,31,7,0,POR,1610612757.0,10,1,0.25
